"Leistung";"Zeit";"Energie";"Zahl der Voxel";"Ausdehnung z";"Ausdehnung lateral";"Volumen"
"in mW";"in ms";"in $\upmu$J";;"in $\upmu$m";"in $\upmu$m";
1.75;10;17.5;8;0.8;0.64;0.1694298912
1.75;20;35;14;1.4;1.03;0.7776573817
1.75;30;52.5;15;1.5;1.14;1.02067335
1.5;10;15;3;0.3;0.56;0.0487323617
1.5;20;30;13;1.3;0.93;0.5899680977
1.5;30;45;15;1.5;1.1;0.95030375
1.25;10;12.5;0;0;0;0
1.25;20;25;9;0.9;0.74;0.2587406942
1.25;30;37.5;11;1.1;0.89;0.4582560503
1;10;10;0;0;0;0
1;20;20;4;0.4;0.52;0.0568487934
1;30;30;9;0.9;0.69;0.2243502225
